incident_severity,umbrella_limit,witnesses,vehicle_claim,incident_city,total_claim_amount,insured_hobbies,authorities_contacted,property_claim,incident_state,policy_state,bodily_injuries,policy_csl,insured_sex,injury_claim,auto_make,number_of_vehicles_involved,police_report_available,incident_type,insured_relationship,fraud_reported
Total Loss,0,2,46320,Northbrook,57900,golf,Police,5790,WV,IN,2,500/1000,FEMALE,5790,Saab,3,NO,Multi-vehicle Collision,wife,N
Total Loss,0,3,38430,Springfield,49410,kayaking,Fire,5490,SC,IN,1,250/500,MALE,5490,Audi,3,YES,Multi-vehicle Collision,own-child,N
Minor Damage,0,1,52960,Northbend,66200,reading,Fire,6620,WV,OH,0,500/1000,MALE,6620,Suburu,3,NO,Multi-vehicle Collision,own-child,N
Minor Damage,0,1,42720,Columbus,64080,reading,Fire,10680,NY,OH,0,100/300,MALE,10680,Toyota,1,NO,Single Vehicle Collision,husband,N
Minor Damage,0,3,29750,Northbrook,42500,dancing,Other,4250,SC,OH,2,250/500,FEMALE,8500,Nissan,3,YES,Multi-vehicle Collision,other-relative,N
Total Loss,0,3,35600,Columbus,48950,bungie-jumping,Other,4450,SC,IL,2,500/1000,MALE,8900,Suburu,3,NO,Multi-vehicle Collision,own-child,N
Minor Damage,0,2,37450,Northbend,58850,golf,Other,10700,NY,IN,1,100/300,FEMALE,10700,Accura,3,YES,Multi-vehicle Collision,own-child,N
Minor Damage,0,2,65920,Northbrook,82400,golf,Other,8240,NY,IL,0,500/1000,FEMALE,8240,Nissan,3,YES,Multi-vehicle Collision,husband,N
Minor Damage,0,0,40680,Springfield,54240,bungie-jumping,Ambulance,6780,WV,OH,2,500/1000,FEMALE,6780,Suburu,1,NO,Single Vehicle Collision,other-relative,N
Minor Damage,0,2,59360,Arlington,74200,video-games,Other,7420,SC,IL,0,250/500,FEMALE,7420,Jeep,3,NO,Multi-vehicle Collision,other-relative,N
Total Loss,0,1,36890,Hillsdale,47430,base-jumping,Fire,5270,WV,IL,2,100/300,FEMALE,5270,Toyota,1,NO,Single Vehicle Collision,unmarried,N
Major Damage,0,3,47740,Hillsdale,68200,polo,Fire,6820,SC,IL,1,250/500,FEMALE,13640,Dodge,1,YES,Single Vehicle Collision,other-relative,Y
Minor Damage,0,0,49700,Hillsdale,63900,exercise,Fire,7100,NY,IN,1,100/300,FEMALE,7100,Accura,1,NO,Single Vehicle Collision,husband,N
Total Loss,0,3,41510,Riverwood,59300,skydiving,Ambulance,5930,NY,OH,0,100/300,FEMALE,11860,Dodge,2,YES,Multi-vehicle Collision,not-in-family,N
Minor Damage,6000000,2,46830,Springfield,66900,chess,Other,13380,SC,IL,1,500/1000,FEMALE,6690,Suburu,3,YES,Multi-vehicle Collision,other-relative,Y
Major Damage,0,3,29680,Arlington,40810,skydiving,Police,7420,OH,OH,1,500/1000,MALE,3710,Ford,3,NO,Multi-vehicle Collision,husband,Y
Total Loss,0,0,52780,Riverwood,75400,skydiving,Fire,7540,NY,IN,1,100/300,FEMALE,15080,Honda,1,NO,Single Vehicle Collision,not-in-family,N
Minor Damage,0,0,2940,Northbend,4200,bungie-jumping,,840,WV,IN,2,500/1000,FEMALE,420,Jeep,1,YES,Parked Car,husband,N
Major Damage,0,0,40950,Hillsdale,52650,chess,Ambulance,5850,NY,OH,0,100/300,FEMALE,5850,Ford,3,YES,Multi-vehicle Collision,wife,Y
Major Damage,0,2,26880,Hillsdale,42240,kayaking,Ambulance,7680,WV,IL,0,250/500,FEMALE,7680,Chevrolet,1,YES,Single Vehicle Collision,own-child,N
Minor Damage,0,0,46270,Riverwood,59490,reading,Other,6610,NC,IN,1,500/1000,FEMALE,6610,Mercedes,1,YES,Single Vehicle Collision,husband,N
Major Damage,8000000,2,35360,Arlington,44200,base-jumping,Ambulance,4420,SC,IL,0,100/300,MALE,4420,Jeep,1,NO,Single Vehicle Collision,unmarried,Y
Trivial Damage,0,2,5390,Springfield,7700,reading,Police,1540,WV,IN,1,100/300,FEMALE,770,Saab,1,NO,Vehicle Theft,unmarried,N
Total Loss,4000000,3,40960,Northbend,61440,exercise,Other,10240,NY,IN,2,500/1000,MALE,10240,Saab,3,NO,Multi-vehicle Collision,other-relative,N
Major Damage,0,3,38080,Columbus,54400,sleeping,Fire,10880,SC,OH,1,250/500,FEMALE,5440,Chevrolet,3,NO,Multi-vehicle Collision,not-in-family,Y
Total Loss,4000000,1,39040,Arlington,58560,polo,Other,9760,NC,IL,2,500/1000,MALE,9760,Mercedes,1,NO,Single Vehicle Collision,other-relative,N
Major Damage,0,1,53840,Northbrook,67300,video-games,Fire,6730,VA,IN,1,500/1000,MALE,6730,Dodge,1,NO,Single Vehicle Collision,wife,Y
Major Damage,0,3,26720,Hillsdale,36740,skydiving,Fire,6680,VA,OH,1,250/500,MALE,3340,BMW,1,YES,Single Vehicle Collision,wife,Y
Total Loss,0,0,54530,Northbrook,85690,dancing,Police,15580,NY,IL,0,100/300,FEMALE,15580,BMW,1,NO,Single Vehicle Collision,not-in-family,N
Major Damage,0,3,29890,Riverwood,34160,bungie-jumping,Ambulance,4270,WV,OH,0,500/1000,FEMALE,0,Audi,3,NO,Multi-vehicle Collision,not-in-family,Y
Minor Damage,0,2,40880,Hillsdale,61320,paintball,Fire,10220,WV,IL,2,250/500,MALE,10220,BMW,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,0,0,53120,Columbus,79680,paintball,Police,13280,NC,IL,0,250/500,MALE,13280,BMW,3,NO,Multi-vehicle Collision,husband,N
Total Loss,0,0,48020,Riverwood,61740,exercise,Fire,6860,SC,IL,1,250/500,FEMALE,6860,Audi,1,YES,Single Vehicle Collision,other-relative,N
Minor Damage,4000000,0,5120,Arlington,6400,exercise,,640,VA,IN,0,250/500,MALE,640,Honda,1,NO,Parked Car,husband,N
Major Damage,0,2,42420,Northbrook,60600,chess,Fire,6060,SC,OH,1,500/1000,FEMALE,12120,Accura,1,YES,Single Vehicle Collision,wife,N
Major Damage,0,0,40960,Hillsdale,56320,sleeping,Ambulance,5120,VA,IL,2,100/300,FEMALE,10240,Volkswagen,3,NO,Multi-vehicle Collision,not-in-family,N
Total Loss,0,0,38000,Northbend,52250,sleeping,Ambulance,4750,NC,IN,2,100/300,FEMALE,9500,Suburu,1,NO,Single Vehicle Collision,other-relative,N
Total Loss,0,3,37730,Arlington,53900,camping,Other,10780,SC,IL,0,500/1000,FEMALE,5390,Saab,2,NO,Multi-vehicle Collision,other-relative,N
Trivial Damage,0,1,1980,Columbus,2640,yachting,,440,WV,IL,2,500/1000,MALE,220,Jeep,1,NO,Vehicle Theft,husband,N
Minor Damage,0,0,6210,Arlington,8970,sleeping,,1380,NC,OH,0,250/500,MALE,1380,Dodge,1,NO,Vehicle Theft,husband,N
Minor Damage,0,3,4000,Springfield,6000,movies,,1000,NY,IN,1,100/300,MALE,1000,Suburu,1,NO,Parked Car,not-in-family,N
Major Damage,0,3,38640,Northbend,55200,board-games,Fire,5520,WV,IL,0,100/300,MALE,11040,Saab,3,NO,Multi-vehicle Collision,own-child,Y
Trivial Damage,0,3,5280,Riverwood,7260,board-games,,1320,SC,IN,0,250/500,MALE,660,Saab,1,YES,Parked Car,own-child,N
Minor Damage,0,0,41160,Springfield,64680,sleeping,Police,11760,NY,IL,2,100/300,FEMALE,11760,Jeep,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,1,47360,Northbrook,59200,basketball,Police,11840,WV,OH,0,250/500,FEMALE,0,Chevrolet,1,NO,Single Vehicle Collision,husband,N
Minor Damage,0,3,3290,Arlington,4700,paintball,,940,NC,OH,1,500/1000,FEMALE,470,Saab,1,NO,Vehicle Theft,own-child,N
Total Loss,0,3,55520,Columbus,69400,video-games,Other,6940,NY,OH,0,250/500,MALE,6940,Mercedes,1,NO,Single Vehicle Collision,husband,N
Total Loss,5000000,0,32400,Northbrook,40500,sleeping,Police,4050,NY,IN,0,250/500,FEMALE,4050,Nissan,1,NO,Single Vehicle Collision,own-child,N
Minor Damage,0,1,45000,Riverwood,60000,skydiving,Fire,10000,SC,IL,2,500/1000,MALE,5000,Honda,3,NO,Multi-vehicle Collision,other-relative,N
Minor Damage,0,3,44880,Riverwood,67320,basketball,Other,11220,WV,IN,2,500/1000,MALE,11220,Volkswagen,1,NO,Single Vehicle Collision,wife,N
Total Loss,0,1,58870,Riverwood,75690,movies,Other,8410,VA,OH,2,500/1000,FEMALE,8410,Saab,3,YES,Multi-vehicle Collision,husband,N
Major Damage,0,2,51440,Northbend,64300,paintball,Fire,6430,VA,IN,1,100/300,MALE,6430,Chevrolet,3,NO,Multi-vehicle Collision,other-relative,Y
Major Damage,0,0,51520,Columbus,64400,camping,Police,6440,SC,OH,2,100/300,MALE,6440,BMW,3,YES,Multi-vehicle Collision,own-child,N
Minor Damage,0,2,64720,Northbend,97080,paintball,Fire,16180,WV,OH,1,250/500,FEMALE,16180,Saab,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,0,4500,Northbrook,5500,base-jumping,Police,500,WV,OH,1,250/500,MALE,500,Honda,1,NO,Vehicle Theft,not-in-family,N
Total Loss,0,2,21490,Northbend,30700,skydiving,Other,6140,SC,IN,0,500/1000,FEMALE,3070,Jeep,3,NO,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,2,26040,Springfield,33480,dancing,Police,3720,PA,IL,1,100/300,FEMALE,3720,Nissan,1,YES,Single Vehicle Collision,wife,N
Total Loss,0,1,43620,Northbend,65430,kayaking,Police,7270,WV,IN,0,500/1000,MALE,14540,Jeep,2,YES,Multi-vehicle Collision,other-relative,N
Major Damage,0,1,31040,Northbend,42680,kayaking,Police,7760,NC,OH,2,500/1000,MALE,3880,Accura,3,YES,Multi-vehicle Collision,not-in-family,Y
Minor Damage,0,1,71820,Springfield,87780,movies,Fire,7980,WV,IL,1,500/1000,MALE,7980,Honda,1,NO,Single Vehicle Collision,not-in-family,N
Major Damage,0,2,43680,Riverwood,72800,cross-fit,Fire,14560,NY,OH,0,500/1000,FEMALE,14560,Honda,4,YES,Multi-vehicle Collision,own-child,N
Major Damage,0,0,63280,Hillsdale,71190,chess,Fire,7910,SC,OH,2,250/500,FEMALE,0,Mercedes,1,NO,Single Vehicle Collision,wife,Y
Trivial Damage,0,1,2800,Hillsdale,3600,golf,,400,NY,OH,1,100/300,MALE,400,Honda,1,YES,Vehicle Theft,husband,N
Major Damage,3000000,3,41760,Columbus,62640,chess,Other,10440,NY,OH,1,250/500,MALE,10440,Mercedes,1,NO,Single Vehicle Collision,not-in-family,N
Minor Damage,0,1,50640,Northbrook,69630,exercise,Ambulance,6330,NY,IL,2,100/300,MALE,12660,Toyota,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,0,55280,Hillsdale,76010,chess,Police,6910,NY,IL,1,250/500,MALE,13820,Dodge,3,NO,Multi-vehicle Collision,own-child,Y
Total Loss,0,0,32160,Northbrook,44220,base-jumping,Other,4020,WV,OH,1,100/300,MALE,8040,Accura,1,YES,Single Vehicle Collision,not-in-family,N
Minor Damage,0,3,41600,Northbrook,57200,camping,Other,10400,NY,IL,0,250/500,FEMALE,5200,BMW,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,8000000,3,1960,Columbus,3080,polo,Police,560,WV,IL,0,500/1000,MALE,560,Nissan,1,NO,Vehicle Theft,wife,N
Total Loss,0,0,55120,Hillsdale,75790,hiking,Other,6890,SC,OH,1,250/500,FEMALE,13780,Accura,1,YES,Single Vehicle Collision,not-in-family,N
Minor Damage,0,1,23760,Riverwood,32670,skydiving,Ambulance,2970,WV,IN,0,500/1000,FEMALE,5940,Honda,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,3,2580,Arlington,3870,video-games,Police,860,VA,IL,2,250/500,FEMALE,430,Jeep,1,NO,Vehicle Theft,husband,N
Total Loss,0,3,66560,Columbus,91520,video-games,Fire,16640,NY,IN,0,250/500,FEMALE,8320,BMW,1,YES,Single Vehicle Collision,own-child,Y
Major Damage,0,3,54320,Northbrook,74690,bungie-jumping,Other,13580,NY,IL,1,250/500,MALE,6790,Dodge,1,YES,Single Vehicle Collision,unmarried,Y
Trivial Damage,0,3,3360,Springfield,4620,polo,Police,840,VA,IN,1,500/1000,MALE,420,Audi,1,NO,Vehicle Theft,other-relative,N
Major Damage,0,0,35000,Arlington,55000,yachting,Police,10000,SC,IN,0,100/300,FEMALE,10000,Toyota,1,NO,Single Vehicle Collision,not-in-family,Y
Major Damage,0,2,39600,Springfield,59400,sleeping,Police,6600,SC,IN,0,100/300,FEMALE,13200,Saab,4,NO,Multi-vehicle Collision,unmarried,Y
Total Loss,0,1,49120,Columbus,55260,sleeping,Fire,0,PA,OH,1,500/1000,FEMALE,6140,Nissan,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,1,35980,Springfield,51400,polo,Other,10280,NC,IL,2,250/500,MALE,5140,Honda,3,YES,Multi-vehicle Collision,other-relative,N
Minor Damage,0,3,32520,Columbus,48780,reading,Ambulance,10840,NY,IL,1,500/1000,FEMALE,5420,Dodge,3,NO,Multi-vehicle Collision,husband,N
Major Damage,5000000,3,40740,Riverwood,52380,camping,Ambulance,5820,VA,OH,1,100/300,FEMALE,5820,Toyota,3,NO,Multi-vehicle Collision,own-child,N
Total Loss,0,3,47320,Hillsdale,74360,cross-fit,Other,13520,WV,OH,2,100/300,FEMALE,13520,Toyota,4,YES,Multi-vehicle Collision,husband,Y
Minor Damage,7000000,0,42720,Northbrook,53400,polo,Police,5340,NY,OH,1,250/500,MALE,5340,Honda,1,NO,Single Vehicle Collision,other-relative,N
Total Loss,0,2,43080,Hillsdale,71800,hiking,Police,14360,VA,IN,2,100/300,FEMALE,14360,Jeep,1,YES,Single Vehicle Collision,wife,N
Major Damage,6000000,0,59710,Northbrook,68240,exercise,Other,0,NY,IN,0,250/500,FEMALE,8530,Toyota,1,NO,Single Vehicle Collision,own-child,Y
Major Damage,6000000,0,38850,Arlington,61050,bungie-jumping,Other,11100,SC,IN,1,250/500,FEMALE,11100,Dodge,3,NO,Multi-vehicle Collision,unmarried,Y
Minor Damage,6000000,1,3870,Springfield,5590,movies,,860,NY,OH,1,100/300,FEMALE,860,Suburu,1,YES,Parked Car,own-child,N
Major Damage,0,0,29820,Columbus,46860,exercise,Fire,8520,NY,IL,0,500/1000,FEMALE,8520,Volkswagen,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,6000000,3,2730,Arlington,4290,base-jumping,,780,SC,IN,1,250/500,FEMALE,780,Volkswagen,1,NO,Parked Car,own-child,N
Minor Damage,0,0,54950,Arlington,78500,bungie-jumping,Police,7850,NC,IN,0,250/500,FEMALE,15700,Audi,3,NO,Multi-vehicle Collision,own-child,N
Total Loss,0,3,55090,Northbrook,70830,movies,Police,7870,SC,IL,1,500/1000,MALE,7870,Jeep,1,YES,Single Vehicle Collision,own-child,N
Total Loss,0,2,45360,Springfield,68040,yachting,Police,7560,SC,IL,0,250/500,MALE,15120,Suburu,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,4000000,0,47700,Hillsdale,63600,hiking,Fire,10600,WV,IL,2,100/300,FEMALE,5300,Audi,1,NO,Single Vehicle Collision,wife,Y
Minor Damage,6000000,3,33880,Columbus,43560,board-games,Other,4840,WV,IL,0,250/500,FEMALE,4840,Suburu,1,NO,Single Vehicle Collision,own-child,N
Total Loss,0,1,40560,Hillsdale,60840,exercise,Police,6760,WV,OH,1,250/500,MALE,13520,Suburu,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,5000000,3,45440,Arlington,68160,bungie-jumping,Police,11360,WV,OH,2,100/300,FEMALE,11360,Ford,3,YES,Multi-vehicle Collision,wife,N
Minor Damage,6000000,0,3760,Arlington,5170,video-games,,470,SC,IL,1,500/1000,FEMALE,940,Toyota,1,NO,Parked Car,unmarried,N
Total Loss,5000000,3,46160,Riverwood,57700,reading,Ambulance,5770,NC,IN,0,500/1000,FEMALE,5770,Nissan,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,0,2,59680,Northbend,89520,sleeping,Other,14920,VA,IN,0,500/1000,FEMALE,14920,Audi,3,NO,Multi-vehicle Collision,own-child,N
Minor Damage,0,0,3360,Hillsdale,4620,reading,,840,WV,IN,1,250/500,MALE,420,Volkswagen,1,YES,Vehicle Theft,not-in-family,N
Minor Damage,0,3,35140,Northbrook,45180,yachting,Ambulance,5020,WV,IN,0,250/500,FEMALE,5020,Honda,1,NO,Single Vehicle Collision,other-relative,N
Total Loss,0,0,31570,Riverwood,45100,movies,Other,4510,NY,OH,0,250/500,MALE,9020,Nissan,1,NO,Single Vehicle Collision,unmarried,N
Total Loss,0,3,52920,Springfield,83160,golf,Police,15120,SC,IN,0,500/1000,MALE,15120,Toyota,3,YES,Multi-vehicle Collision,not-in-family,N
Minor Damage,4000000,1,54810,Columbus,86130,skydiving,Police,15660,WV,IL,2,100/300,FEMALE,15660,Chevrolet,1,NO,Single Vehicle Collision,other-relative,N
Major Damage,0,3,33600,Hillsdale,48000,sleeping,Fire,4800,NC,OH,1,100/300,MALE,9600,Dodge,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,0,2100,Hillsdale,3300,movies,Police,600,VA,OH,0,500/1000,FEMALE,600,Saab,1,YES,Vehicle Theft,husband,N
Minor Damage,0,2,40040,Northbend,57200,board-games,Ambulance,5720,NY,IL,1,100/300,FEMALE,11440,Toyota,3,YES,Multi-vehicle Collision,husband,N
Trivial Damage,0,0,5520,Columbus,7590,bungie-jumping,Police,690,VA,IN,2,250/500,FEMALE,1380,Accura,1,NO,Vehicle Theft,husband,N
Total Loss,0,2,55440,Arlington,80080,board-games,Police,12320,VA,OH,0,500/1000,FEMALE,12320,Chevrolet,1,NO,Single Vehicle Collision,unmarried,N
Minor Damage,0,0,3360,Riverwood,4800,skydiving,Police,480,WV,OH,0,100/300,FEMALE,960,BMW,1,YES,Vehicle Theft,other-relative,N
Minor Damage,4000000,1,2730,Springfield,3900,cross-fit,Police,780,WV,IN,2,500/1000,FEMALE,390,Volkswagen,1,YES,Vehicle Theft,own-child,Y
Minor Damage,0,0,72320,Arlington,90400,camping,Other,9040,SC,IL,0,100/300,MALE,9040,BMW,1,NO,Single Vehicle Collision,other-relative,N
Minor Damage,5000000,0,44030,Columbus,62900,kayaking,Other,12580,NC,OH,0,250/500,FEMALE,6290,Jeep,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,6000000,2,37940,Arlington,54200,base-jumping,Police,10840,NC,OH,1,100/300,FEMALE,5420,Nissan,1,NO,Single Vehicle Collision,own-child,Y
Major Damage,0,2,36260,Northbend,51800,paintball,Police,10360,NY,OH,2,500/1000,FEMALE,5180,Accura,3,YES,Multi-vehicle Collision,other-relative,N
Trivial Damage,0,3,4800,Northbend,6600,movies,Police,1200,SC,OH,2,250/500,MALE,600,Accura,1,NO,Vehicle Theft,unmarried,N
Total Loss,0,0,53920,Northbrook,74140,movies,Fire,6740,SC,OH,2,250/500,MALE,13480,Ford,1,YES,Single Vehicle Collision,husband,N
Total Loss,0,1,47460,Northbend,67800,paintball,Fire,6780,VA,OH,2,500/1000,FEMALE,13560,Mercedes,1,NO,Single Vehicle Collision,not-in-family,N
Major Damage,0,1,38780,Northbend,55400,exercise,Fire,11080,NY,OH,1,250/500,MALE,5540,Jeep,1,YES,Single Vehicle Collision,wife,Y
Major Damage,0,3,34370,Columbus,49100,reading,Ambulance,4910,SC,IL,2,500/1000,MALE,9820,Suburu,1,NO,Single Vehicle Collision,own-child,Y
Major Damage,0,1,75600,Riverwood,98280,video-games,Police,7560,SC,IN,2,100/300,FEMALE,15120,Chevrolet,3,NO,Multi-vehicle Collision,wife,Y
Total Loss,9000000,2,48400,Northbend,66550,polo,Fire,12100,VA,IN,0,100/300,FEMALE,6050,Ford,2,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,2,49280,Arlington,70400,board-games,Fire,7040,WV,OH,2,500/1000,FEMALE,14080,Accura,3,NO,Multi-vehicle Collision,unmarried,N
Major Damage,4000000,1,39960,Springfield,53280,board-games,Ambulance,8880,WV,IN,1,100/300,MALE,4440,Suburu,3,NO,Multi-vehicle Collision,other-relative,Y
Total Loss,0,3,53830,Columbus,84590,golf,Other,15380,NY,IN,2,250/500,FEMALE,15380,Dodge,1,YES,Single Vehicle Collision,unmarried,N
Total Loss,0,2,34720,Columbus,54560,base-jumping,Other,9920,NY,IN,0,500/1000,FEMALE,9920,Saab,1,YES,Single Vehicle Collision,not-in-family,N
Minor Damage,0,2,67230,Northbend,82170,camping,Ambulance,7470,OH,IL,0,500/1000,MALE,7470,Suburu,1,YES,Single Vehicle Collision,unmarried,N
Total Loss,0,2,42770,Northbend,61100,bungie-jumping,Police,12220,NY,OH,1,250/500,MALE,6110,Dodge,3,NO,Multi-vehicle Collision,unmarried,N
Minor Damage,0,3,36330,Arlington,51900,cross-fit,Police,10380,NY,IN,0,500/1000,MALE,5190,BMW,3,YES,Multi-vehicle Collision,other-relative,Y
Trivial Damage,0,1,2580,Arlington,3440,hiking,Police,430,SC,IL,2,250/500,FEMALE,430,Suburu,1,NO,Parked Car,unmarried,N
Total Loss,0,1,34260,Springfield,51390,cross-fit,Ambulance,11420,WV,IN,2,250/500,MALE,5710,Toyota,1,NO,Single Vehicle Collision,husband,N
Major Damage,0,2,61520,Columbus,76900,base-jumping,Other,7690,WV,OH,0,100/300,MALE,7690,Jeep,1,NO,Single Vehicle Collision,wife,N
Minor Damage,0,3,53900,Riverwood,77000,kayaking,Other,7700,WV,IN,2,100/300,MALE,15400,Toyota,1,NO,Single Vehicle Collision,not-in-family,Y
Major Damage,4000000,3,41760,Hillsdale,60320,yachting,Other,9280,NC,IL,0,500/1000,MALE,9280,Chevrolet,1,NO,Single Vehicle Collision,other-relative,Y
Minor Damage,0,1,42490,Columbus,60700,dancing,Fire,6070,NY,IN,1,100/300,FEMALE,12140,Honda,1,NO,Single Vehicle Collision,wife,N
Total Loss,0,2,47360,Arlington,53280,movies,Police,0,SC,IN,1,250/500,FEMALE,5920,Chevrolet,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,3000000,2,26670,Northbrook,34290,movies,Fire,3810,NY,IL,2,100/300,FEMALE,3810,Jeep,1,YES,Single Vehicle Collision,unmarried,N
Total Loss,0,1,41760,Riverwood,46980,basketball,Other,5220,WV,OH,0,100/300,MALE,0,Accura,1,NO,Single Vehicle Collision,other-relative,N
Major Damage,0,2,25690,Springfield,36700,camping,Fire,7340,OH,IN,1,100/300,MALE,3670,Nissan,3,YES,Multi-vehicle Collision,husband,N
Total Loss,0,1,48160,Hillsdale,60200,camping,Other,6020,OH,OH,0,250/500,MALE,6020,Volkswagen,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,2,4860,Northbend,6480,bungie-jumping,,1080,SC,IN,1,500/1000,MALE,540,Honda,1,YES,Parked Car,own-child,N
Minor Damage,0,1,61040,Northbrook,87200,paintball,Fire,8720,NC,OH,0,500/1000,FEMALE,17440,Honda,1,NO,Single Vehicle Collision,unmarried,N
Major Damage,0,3,72320,Northbend,108480,sleeping,Fire,18080,SC,IL,2,100/300,FEMALE,18080,Volkswagen,1,NO,Single Vehicle Collision,wife,N
Minor Damage,3000000,3,52500,Arlington,67500,bungie-jumping,Police,7500,NC,OH,2,250/500,FEMALE,7500,Suburu,3,YES,Multi-vehicle Collision,other-relative,N
Major Damage,5000000,1,36540,Arlington,46980,base-jumping,Other,5220,NY,IL,0,500/1000,MALE,5220,Audi,1,YES,Single Vehicle Collision,wife,N
Minor Damage,0,3,3680,Columbus,5060,kayaking,Police,920,WV,OH,0,250/500,FEMALE,460,Mercedes,1,NO,Parked Car,husband,N
